unix,date,symbol,open,high,low,close,Volume SAND,Volume USD
1696125600,2023-10-01 02:00:00,SAND/USD,0.31290,0.31290,0.31290,0.31290,0.00000000,0.0
1696122000,2023-10-01 01:00:00,SAND/USD,0.31290,0.31290,0.31290,0.31290,73.56488508,23.018452541532
1696118400,2023-10-01 00:00:00,SAND/USD,0.31110,0.31110,0.31110,0.31110,0.00000000,0.0
1696114800,2023-09-30 23:00:00,SAND/USD,0.31110,0.31110,0.31110,0.31110,73.56488508,22.886035748387997
1696111200,2023-09-30 22:00:00,SAND/USD,0.31080,0.31140,0.31080,0.31140,240.08694508,74.763074697912
1696107600,2023-09-30 21:00:00,SAND/USD,0.31190,0.31190,0.31190,0.31190,25000.00000000,7797.5
1696104000,2023-09-30 20:00:00,SAND/USD,0.31260,0.31260,0.31260,0.31260,73.56488508,22.996383076007998
1696100400,2023-09-30 19:00:00,SAND/USD,0.31190,0.31190,0.31190,0.31190,0.00000000,0.0
1696096800,2023-09-30 18:00:00,SAND/USD,0.31190,0.31190,0.31190,0.31190,73.56488508,22.944887656452
1696093200,2023-09-30 17:00:00,SAND/USD,0.31123,0.31123,0.31123,0.31123,73.56488508,22.8955991834484
1696089600,2023-09-30 16:00:00,SAND/USD,0.31000,0.31000,0.31000,0.31000,0.00000000,0.0
1696086000,2023-09-30 15:00:00,SAND/USD,0.31000,0.31000,0.31000,0.31000,0.00000000,0.0
1696082400,2023-09-30 14:00:00,SAND/USD,0.31000,0.31000,0.31000,0.31000,0.00000000,0.0
1696078800,2023-09-30 13:00:00,SAND/USD,0.31000,0.31000,0.31000,0.31000,0.00000000,0.0
1696075200,2023-09-30 12:00:00,SAND/USD,0.31000,0.31000,0.31000,0.31000,0.00000000,0.0
1696071600,2023-09-30 11:00:00,SAND/USD,0.31000,0.31000,0.31000,0.31000,0.00000000,0.0
1696068000,2023-09-30 10:00:00,SAND/USD,0.31000,0.31000,0.31000,0.31000,0.00000000,0.0
1696064400,2023-09-30 09:00:00,SAND/USD,0.31000,0.31000,0.31000,0.31000,0.00000000,0.0
1696060800,2023-09-30 08:00:00,SAND/USD,0.31000,0.31000,0.31000,0.31000,0.00000000,0.0
1696057200,2023-09-30 07:00:00,SAND/USD,0.31000,0.31000,0.31000,0.31000,171.27082118,53.093954565800004
1696053600,2023-09-30 06:00:00,SAND/USD,0.31450,0.31450,0.31450,0.31450,0.00000000,0.0
1696050000,2023-09-30 05:00:00,SAND/USD,0.31450,0.31450,0.31450,0.31450,0.00000000,0.0
1696046400,2023-09-30 04:00:00,SAND/USD,0.31450,0.31450,0.31450,0.31450,0.00000000,0.0
1696042800,2023-09-30 03:00:00,SAND/USD,0.31450,0.31450,0.31450,0.31450,0.00000000,0.0
